Position,,,,,,,,Intensity Mean Ch=3 Img=1,Intensity Mean Ch=2 Img=1
 ==================== ,,,,,,,, ==================== , ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,VENUS Intensity Mean,KEIMA Intensity Mean
114.7,45.8931,17.52,um,Spot,Position,1,55477,25.7769,1111.71
110.676,52.9637,18,um,Spot,Position,1,55478,21.9048,956.248
120.938,30.8573,10.435,um,Spot,Position,1,55479,17.7764,974.267
47.1397,92.8332,1.2,um,Spot,Position,1,55480,38.0961,1413.57
51.5397,37.4915,7.44,um,Spot,Position,1,55481,1919.12,1486.73
48.1261,37.5138,4.08,um,Spot,Position,1,55482,342.747,1261.02
63.7134,25.2844,8.88,um,Spot,Position,1,55483,31.9168,1733.71
135.729,50.1914,1.2,um,Spot,Position,1,55484,35.9081,1614.89
133.132,69.1174,6.96,um,Spot,Position,1,55485,29.4276,949.499
101.052,65.6346,28.56,um,Spot,Position,1,55486,345.915,1490.33
108.946,75.3279,16.56,um,Spot,Position,1,55487,113.266,1295.97
101.929,48.7694,10.4115,um,Spot,Position,1,55488,91.8071,1423.35
100.61,80.5684,5.52,um,Spot,Position,1,55491,118.11,1482.72
101.495,79.204,10.5554,um,Spot,Position,1,55492,207.516,1565.61
97.8944,77.8672,9.90817,um,Spot,Position,1,55493,214.145,1232.97
98.2712,76.976,15.8571,um,Spot,Position,1,55494,179.899,1441.24
74.1383,68.6114,24.72,um,Spot,Position,1,55495,443.678,1380.91
61.9211,64.887,27.6,um,Spot,Position,1,55496,159.351,1558.28
61.9906,46.6758,20.9766,um,Spot,Position,1,55497,836.615,1452.29
60.3322,88.1613,8.4,um,Spot,Position,1,55498,45.8077,1189.03
83.8829,44.4025,10.471,um,Spot,Position,1,55499,87.4763,1341.03
52.0063,67.2374,25.2,um,Spot,Position,1,55500,2290.24,1432.9
50.6509,67.3958,19.3583,um,Spot,Position,1,55501,776.839,1524.56
47.6397,51.9289,16.08,um,Spot,Position,1,55502,1373.71,1413.29
46.1086,49.5721,9.41585,um,Spot,Position,1,55503,850.37,1191.82
37.6876,53.1801,16.56,um,Spot,Position,1,55505,430.279,1250.41
27.9346,48.4581,4.57074,um,Spot,Position,1,55506,830.174,1225.56
50.0698,67.6186,9.56975,um,Spot,Position,1,55507,1768.13,1461.78
106.674,46.6165,3.12,um,Spot,Position,1,55508,32.2826,1310.77
125.855,80.6974,1.2,um,Spot,Position,1,55509,38.6159,1576.75
106.385,93.5508,14.8233,um,Spot,Position,1,55511,21.7928,1189.82
60.0515,73.1885,20.9211,um,Spot,Position,1,55512,852.307,1365.2
51.5963,47.7898,10.2316,um,Spot,Position,1,55513,1193.12,1163.18
47.2745,43.7469,5.04,um,Spot,Position,1,55514,446.374,1393.66
40.1858,62.6519,17.52,um,Spot,Position,1,55515,342.464,1134.39
