
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
531.258,,Spot,2,Image 1,1,55541,
538.422,,Spot,2,Image 1,1,55542,
523.262,,Spot,2,Image 1,1,55543,
439.511,,Spot,2,Image 1,1,55544,
495.814,,Spot,2,Image 1,1,55545,
607.017,,Spot,2,Image 1,1,55546,
592.548,,Spot,2,Image 1,1,55548,
646.089,,Spot,2,Image 1,1,55549,
502.296,,Spot,2,Image 1,1,55550,
563.485,,Spot,2,Image 1,1,55551,
628.538,,Spot,2,Image 1,1,55552,
433.009,,Spot,2,Image 1,1,55553,
549.811,,Spot,2,Image 1,1,55554,
492.408,,Spot,2,Image 1,1,55555,
590.51,,Spot,2,Image 1,1,55556,
574.068,,Spot,2,Image 1,1,55557,
503.236,,Spot,2,Image 1,1,55558,
680.485,,Spot,2,Image 1,1,55559,
509.64,,Spot,2,Image 1,1,55560,
499.373,,Spot,2,Image 1,1,55561,
479.528,,Spot,2,Image 1,1,55562,
513.121,,Spot,2,Image 1,1,55563,
582.319,,Spot,2,Image 1,1,55564,
656.195,,Spot,2,Image 1,1,55565,
488.188,,Spot,2,Image 1,1,55566,
523.286,,Spot,2,Image 1,1,55568,
581.151,,Spot,2,Image 1,1,55569,
455.717,,Spot,2,Image 1,1,55570,
469.016,,Spot,2,Image 1,1,55571,
563.53,,Spot,2,Image 1,1,55572,
551.558,,Spot,2,Image 1,1,55573,
439.679,,Spot,2,Image 1,1,55574,
484.716,,Spot,2,Image 1,1,55576,
515.339,,Spot,2,Image 1,1,55577,
570.83,,Spot,2,Image 1,1,55578,
508.133,,Spot,2,Image 1,1,55579,
616.456,,Spot,2,Image 1,1,55580,
429.153,,Spot,2,Image 1,1,55581,
554.326,,Spot,2,Image 1,1,55582,
552.046,,Spot,2,Image 1,2,55583,
599.404,,Spot,2,Image 1,2,55584,
631.163,,Spot,2,Image 1,2,55585,
535.925,,Spot,2,Image 1,2,55586,
607.665,,Spot,2,Image 1,2,55587,
531.058,,Spot,2,Image 1,2,55588,
624.28,,Spot,2,Image 1,2,55589,
423.857,,Spot,2,Image 1,2,55590,
503.692,,Spot,2,Image 1,2,55591,
486.419,,Spot,2,Image 1,2,55592,
588.56,,Spot,2,Image 1,2,55593,
466.402,,Spot,2,Image 1,2,55594,
544.429,,Spot,2,Image 1,2,55595,
510.98,,Spot,2,Image 1,2,55596,
944.472,,Spot,2,Image 1,2,55597,
745.88,,Spot,2,Image 1,2,55598,
546.085,,Spot,2,Image 1,2,55599,
622.664,,Spot,2,Image 1,2,55600,
611.267,,Spot,2,Image 1,2,55601,
641.969,,Spot,2,Image 1,2,55602,
634.653,,Spot,2,Image 1,2,55603,
633.502,,Spot,2,Image 1,2,55604,
594.267,,Spot,2,Image 1,2,55605,
641.644,,Spot,2,Image 1,2,55606,
506.361,,Spot,2,Image 1,2,55607,
729.086,,Spot,2,Image 1,2,55608,
634.056,,Spot,2,Image 1,2,55609,
586.578,,Spot,2,Image 1,2,55610,
661.088,,Spot,2,Image 1,2,55611,
583.671,,Spot,2,Image 1,2,55612,
541.891,,Spot,2,Image 1,2,55613,
550.953,,Spot,2,Image 1,2,55614,
605.171,,Spot,2,Image 1,2,55615,
664.476,,Spot,2,Image 1,2,55616,
527.026,,Spot,2,Image 1,2,55617,
634.965,,Spot,2,Image 1,2,55618,
551.469,,Spot,2,Image 1,2,55619,
455.85,,Spot,2,Image 1,2,55620,
650.265,,Spot,2,Image 1,2,55621,
542.479,,Spot,2,Image 1,2,55622,
517.499,,Spot,2,Image 1,2,55623,
540.669,,Spot,2,Image 1,2,55624,
610.921,,Spot,2,Image 1,2,55625,
512.023,,Spot,2,Image 1,2,55626,
559.242,,Spot,2,Image 1,2,55627,
464.847,,Spot,2,Image 1,2,55628,
562.103,,Spot,2,Image 1,2,55629,
663.567,,Spot,2,Image 1,2,55630,
659.175,,Spot,2,Image 1,2,55631,
524.979,,Spot,2,Image 1,2,55632,
671.578,,Spot,2,Image 1,2,55633,
