
Intensity Sum of Square Ch=4 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
3.45238e+07,,Spot,4,Image 1,2,55605,
6.93879e+07,,Spot,4,Image 1,2,55606,
3.0707e+08,,Spot,4,Image 1,2,55607,
2.97275e+08,,Spot,4,Image 1,2,55608,
1.70259e+08,,Spot,4,Image 1,2,55609,
2.17016e+08,,Spot,4,Image 1,2,55610,
1.08438e+08,,Spot,4,Image 1,2,55611,
5.93233e+08,,Spot,4,Image 1,2,55612,
9.22831e+07,,Spot,4,Image 1,2,55613,
8.60411e+07,,Spot,4,Image 1,2,55614,
1.4578e+08,,Spot,4,Image 1,2,55615,
5.17295e+07,,Spot,4,Image 1,2,55616,
1.16708e+08,,Spot,4,Image 1,2,55617,
2.51976e+07,,Spot,4,Image 1,2,55618,
1.80937e+08,,Spot,4,Image 1,2,55619,
6.43609e+07,,Spot,4,Image 1,2,55620,
2.91978e+08,,Spot,4,Image 1,2,55621,
2.58939e+08,,Spot,4,Image 1,2,55622,
1.74929e+08,,Spot,4,Image 1,2,55623,
2.32087e+08,,Spot,4,Image 1,2,55624,
7.6621e+07,,Spot,4,Image 1,2,55625,
2.72806e+08,,Spot,4,Image 1,2,55626,
3.57195e+08,,Spot,4,Image 1,2,55627,
1.00352e+08,,Spot,4,Image 1,2,55628,
2.54651e+07,,Spot,4,Image 1,2,55629,
7.63446e+07,,Spot,4,Image 1,2,55630,
5.33736e+06,,Spot,4,Image 1,2,55631,
1.4166e+08,,Spot,4,Image 1,2,55632,
1.35654e+08,,Spot,4,Image 1,2,55633,
5.30242e+07,,Spot,4,Image 1,2,55634,
1.46273e+07,,Spot,4,Image 1,2,55635,
3.28592e+07,,Spot,4,Image 1,2,55636,
4.5322e+07,,Spot,4,Image 1,2,55637,
6.07584e+07,,Spot,4,Image 1,2,55638,
7.84679e+07,,Spot,4,Image 1,2,55639,
4.59589e+07,,Spot,4,Image 1,2,55640,
1.80263e+08,,Spot,4,Image 1,2,55641,
2.99936e+08,,Spot,4,Image 1,2,55642,
