
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2747,,Spot,Image 1,2,55838,
2752,,Spot,Image 1,2,55839,
2752,,Spot,Image 1,2,55840,
2738,,Spot,Image 1,2,55841,
2741,,Spot,Image 1,2,55842,
2744,,Spot,Image 1,2,55843,
2756,,Spot,Image 1,2,55844,
2739,,Spot,Image 1,2,55845,
2744,,Spot,Image 1,2,55846,
2747,,Spot,Image 1,2,55847,
2744,,Spot,Image 1,2,55848,
2737,,Spot,Image 1,2,55849,
2744,,Spot,Image 1,2,55850,
2758,,Spot,Image 1,2,55851,
2748,,Spot,Image 1,2,55852,
2751,,Spot,Image 1,2,55853,
2750,,Spot,Image 1,2,55854,
2748,,Spot,Image 1,2,55855,
2758,,Spot,Image 1,2,55856,
2749,,Spot,Image 1,2,55857,
2744,,Spot,Image 1,2,55858,
2747,,Spot,Image 1,2,55859,
2732,,Spot,Image 1,2,55860,
2745,,Spot,Image 1,2,55861,
2750,,Spot,Image 1,2,55862,
2749,,Spot,Image 1,2,55863,
2742,,Spot,Image 1,2,55864,
2744,,Spot,Image 1,2,55865,
2755,,Spot,Image 1,2,55866,
2744,,Spot,Image 1,2,55867,
2742,,Spot,Image 1,2,55868,
2758,,Spot,Image 1,2,55869,
2743,,Spot,Image 1,2,55870,
2751,,Spot,Image 1,2,55871,
2743,,Spot,Image 1,2,55872,
2747,,Spot,Image 1,2,55873,
2739,,Spot,Image 1,2,55874,
2753,,Spot,Image 1,2,55875,
2746,,Spot,Image 1,2,55876,
2733,,Spot,Image 1,2,55877,
2766,,Spot,Image 1,2,55878,
2747,,Spot,Image 1,2,55879,
2741,,Spot,Image 1,2,55880,
2754,,Spot,Image 1,2,55881,
2753,,Spot,Image 1,2,55882,
2750,,Spot,Image 1,2,55883,
2751,,Spot,Image 1,2,55884,
2750,,Spot,Image 1,2,55885,
2741,,Spot,Image 1,2,55886,
2747,,Spot,Image 1,2,55887,
2741,,Spot,Image 1,2,55888,
2747,,Spot,Image 1,2,55889,
2748,,Spot,Image 1,2,55890,
2739,,Spot,Image 1,2,55891,
2743,,Spot,Image 1,2,55892,
2743,,Spot,Image 1,2,55893,
2759,,Spot,Image 1,2,55894,
2751,,Spot,Image 1,2,55895,
2763,,Spot,Image 1,2,55896,
2750,,Spot,Image 1,2,55897,
2741,,Spot,Image 1,2,55898,
2741,,Spot,Image 1,2,55899,
2746,,Spot,Image 1,2,55900,
1569,,Spot,Image 1,2,55901,
1568,,Spot,Image 1,2,55902,
