
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
30.5912,um,Spot,Image 1,2,55659,
28.222,um,Spot,Image 1,2,55660,
17.936,um,Spot,Image 1,2,55661,
42.8318,um,Spot,Image 1,2,55662,
39.4272,um,Spot,Image 1,2,55663,
20.4583,um,Spot,Image 1,2,55664,
30.1656,um,Spot,Image 1,2,55665,
29.4462,um,Spot,Image 1,2,55666,
38.8132,um,Spot,Image 1,2,55667,
18.48,um,Spot,Image 1,2,55668,
44.7866,um,Spot,Image 1,2,55669,
34.8119,um,Spot,Image 1,2,55670,
37.7156,um,Spot,Image 1,2,55671,
31.0855,um,Spot,Image 1,2,55672,
36.0864,um,Spot,Image 1,2,55673,
29.2193,um,Spot,Image 1,2,55674,
29.1191,um,Spot,Image 1,2,55675,
20.8233,um,Spot,Image 1,2,55676,
26.1975,um,Spot,Image 1,2,55677,
26.5938,um,Spot,Image 1,2,55678,
36.0467,um,Spot,Image 1,2,55679,
30.2658,um,Spot,Image 1,2,55680,
37.2328,um,Spot,Image 1,2,55681,
29.4766,um,Spot,Image 1,2,55682,
24.6676,um,Spot,Image 1,2,55683,
26.3384,um,Spot,Image 1,2,55684,
18.5712,um,Spot,Image 1,2,55685,
20.1123,um,Spot,Image 1,2,55686,
18.2159,um,Spot,Image 1,2,55687,
21.0234,um,Spot,Image 1,2,55688,
24.6542,um,Spot,Image 1,2,55689,
19.6283,um,Spot,Image 1,2,55690,
23.7553,um,Spot,Image 1,2,55691,
20.9187,um,Spot,Image 1,2,55692,
19.6019,um,Spot,Image 1,2,55693,
20.0166,um,Spot,Image 1,2,55694,
28.2213,um,Spot,Image 1,2,55695,
31.5593,um,Spot,Image 1,2,55696,
27.4011,um,Spot,Image 1,2,55697,
35.7663,um,Spot,Image 1,2,55698,
27.7186,um,Spot,Image 1,2,55699,
36.1554,um,Spot,Image 1,2,55700,
27.8009,um,Spot,Image 1,2,55701,
29.6521,um,Spot,Image 1,2,55702,
30.2005,um,Spot,Image 1,2,55703,
31.7964,um,Spot,Image 1,2,55704,
38.8394,um,Spot,Image 1,2,55705,
49.8029,um,Spot,Image 1,2,55706,
33.5538,um,Spot,Image 1,2,55707,
32.7681,um,Spot,Image 1,2,55708,
33.7267,um,Spot,Image 1,2,55709,
36.849,um,Spot,Image 1,2,55710,
45.6895,um,Spot,Image 1,2,55711,
47.3861,um,Spot,Image 1,2,55712,
45.9456,um,Spot,Image 1,2,55713,
40.7547,um,Spot,Image 1,2,55714,
41.2873,um,Spot,Image 1,2,55715,
26.7169,um,Spot,Image 1,2,55716,
37.0909,um,Spot,Image 1,2,55717,
28.72,um,Spot,Image 1,2,55718,
34.0354,um,Spot,Image 1,2,55719,
22.7058,um,Spot,Image 1,2,55720,
30.3362,um,Spot,Image 1,2,55721,
37.5284,um,Spot,Image 1,2,55722,
24.7619,um,Spot,Image 1,2,55723,
