
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
120.311,um,Spot,Distance from Origin,2,55718,
113.712,um,Spot,Distance from Origin,2,55719,
125.914,um,Spot,Distance from Origin,2,55720,
124.019,um,Spot,Distance from Origin,2,55721,
106.024,um,Spot,Distance from Origin,2,55722,
128.212,um,Spot,Distance from Origin,2,55723,
114.212,um,Spot,Distance from Origin,2,55724,
108.738,um,Spot,Distance from Origin,2,55725,
132.078,um,Spot,Distance from Origin,2,55726,
122.321,um,Spot,Distance from Origin,2,55727,
126.45,um,Spot,Distance from Origin,2,55728,
91.3988,um,Spot,Distance from Origin,2,55729,
87.536,um,Spot,Distance from Origin,2,55730,
74.0942,um,Spot,Distance from Origin,2,55731,
86.2151,um,Spot,Distance from Origin,2,55732,
83.7804,um,Spot,Distance from Origin,2,55733,
95.4169,um,Spot,Distance from Origin,2,55734,
89.9205,um,Spot,Distance from Origin,2,55735,
79.6231,um,Spot,Distance from Origin,2,55736,
85.7695,um,Spot,Distance from Origin,2,55737,
94.4645,um,Spot,Distance from Origin,2,55738,
