
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
2767,,Spot,1,Image 1,2,55603,
1637,,Spot,1,Image 1,2,55604,
1867,,Spot,1,Image 1,2,55605,
2305,,Spot,1,Image 1,2,55606,
3488,,Spot,1,Image 1,2,55607,
3083,,Spot,1,Image 1,2,55608,
3160,,Spot,1,Image 1,2,55609,
4695,,Spot,1,Image 1,2,55610,
2412,,Spot,1,Image 1,2,55611,
3549,,Spot,1,Image 1,2,55612,
2497,,Spot,1,Image 1,2,55613,
2640,,Spot,1,Image 1,2,55614,
2833,,Spot,1,Image 1,2,55615,
2590,,Spot,1,Image 1,2,55616,
2576,,Spot,1,Image 1,2,55617,
1744,,Spot,1,Image 1,2,55618,
3009,,Spot,1,Image 1,2,55619,
1749,,Spot,1,Image 1,2,55620,
2824,,Spot,1,Image 1,2,55621,
2855,,Spot,1,Image 1,2,55622,
2855,,Spot,1,Image 1,2,55623,
2945,,Spot,1,Image 1,2,55624,
2607,,Spot,1,Image 1,2,55625,
2904,,Spot,1,Image 1,2,55626,
3373,,Spot,1,Image 1,2,55627,
2045,,Spot,1,Image 1,2,55628,
1540,,Spot,1,Image 1,2,55629,
2596,,Spot,1,Image 1,2,55630,
1674,,Spot,1,Image 1,2,55631,
2212,,Spot,1,Image 1,2,55632,
3367,,Spot,1,Image 1,2,55633,
1505,,Spot,1,Image 1,2,55634,
1906,,Spot,1,Image 1,2,55635,
1764,,Spot,1,Image 1,2,55636,
2084,,Spot,1,Image 1,2,55637,
2157,,Spot,1,Image 1,2,55638,
2958,,Spot,1,Image 1,2,55639,
2101,,Spot,1,Image 1,2,55640,
3058,,Spot,1,Image 1,2,55641,
3212,,Spot,1,Image 1,2,55642,
3244,,Spot,1,Image 1,2,55643,
1806,,Spot,1,Image 1,2,55644,
2993,,Spot,1,Image 1,2,55645,
1735,,Spot,1,Image 1,2,55646,
1978,,Spot,1,Image 1,2,55647,
2482,,Spot,1,Image 1,2,55648,
2196,,Spot,1,Image 1,2,55649,
3030,,Spot,1,Image 1,2,55650,
2117,,Spot,1,Image 1,2,55651,
2984,,Spot,1,Image 1,2,55652,
3704,,Spot,1,Image 1,2,55653,
3639,,Spot,1,Image 1,2,55654,
2917,,Spot,1,Image 1,2,55655,
2636,,Spot,1,Image 1,2,55656,
2575,,Spot,1,Image 1,2,55657,
2141,,Spot,1,Image 1,2,55658,
2838,,Spot,1,Image 1,2,55659,
1797,,Spot,1,Image 1,2,55660,
1884,,Spot,1,Image 1,2,55661,
2227,,Spot,1,Image 1,2,55662,
1735,,Spot,1,Image 1,2,55663,
2338,,Spot,1,Image 1,2,55664,
3542,,Spot,1,Image 1,2,55665,
2541,,Spot,1,Image 1,2,55666,
1961,,Spot,1,Image 1,2,55667,
2803,,Spot,1,Image 1,2,55668,
1312,,Spot,1,Image 1,2,55669,
3456,,Spot,1,Image 1,2,55670,
2048,,Spot,1,Image 1,2,55671,
2423,,Spot,1,Image 1,2,55672,
2578,,Spot,1,Image 1,2,55673,
3086,,Spot,1,Image 1,2,55674,
1784,,Spot,1,Image 1,2,55675,
2341,,Spot,1,Image 1,2,55676,
3224,,Spot,1,Image 1,2,55677,
2799,,Spot,1,Image 1,2,55678,
3340,,Spot,1,Image 1,2,55679,
4108,,Spot,1,Image 1,2,55680,
3104,,Spot,1,Image 1,2,55681,
2755,,Spot,1,Image 1,2,55682,
2956,,Spot,1,Image 1,2,55683,
1012,,Spot,1,Image 1,2,55684,
2390,,Spot,1,Image 1,2,55685,
2592,,Spot,1,Image 1,2,55686,
4386,,Spot,1,Image 1,2,55687,
2499,,Spot,1,Image 1,2,55688,
2825,,Spot,1,Image 1,2,55689,
2791,,Spot,1,Image 1,2,55690,
2359,,Spot,1,Image 1,2,55691,
2249,,Spot,1,Image 1,2,55692,
2085,,Spot,1,Image 1,2,55693,
2411,,Spot,1,Image 1,2,55694,
2064,,Spot,1,Image 1,2,55695,
2624,,Spot,1,Image 1,2,55696,
3947,,Spot,1,Image 1,2,55697,
3331,,Spot,1,Image 1,2,55698,
2451,,Spot,1,Image 1,2,55699,
3257,,Spot,1,Image 1,2,55700,
2585,,Spot,1,Image 1,2,55701,
2885,,Spot,1,Image 1,2,55702,
2516,,Spot,1,Image 1,2,55703,
1292,,Spot,1,Image 1,2,55704,
3208,,Spot,1,Image 1,2,55705,
2403,,Spot,1,Image 1,2,55706,
1982,,Spot,1,Image 1,2,55707,
3214,,Spot,1,Image 1,2,55708,
3214,,Spot,1,Image 1,2,55709,
2777,,Spot,1,Image 1,2,55710,
2273,,Spot,1,Image 1,2,55711,
1919,,Spot,1,Image 1,2,55712,
1146,,Spot,1,Image 1,2,55713,
2910,,Spot,1,Image 1,2,55714,
3030,,Spot,1,Image 1,2,55715,
2133,,Spot,1,Image 1,2,55716,
1139,,Spot,1,Image 1,2,55717,
2658,,Spot,1,Image 1,2,55718,
3689,,Spot,1,Image 1,2,55719,
2519,,Spot,1,Image 1,2,55720,
2736,,Spot,1,Image 1,2,55721,
2747,,Spot,1,Image 1,2,55722,
2595,,Spot,1,Image 1,2,55723,
2119,,Spot,1,Image 1,2,55724,
2220,,Spot,1,Image 1,2,55725,
2680,,Spot,1,Image 1,2,55726,
2588,,Spot,1,Image 1,2,55727,
3235,,Spot,1,Image 1,2,55728,
3595,,Spot,1,Image 1,2,55729,
1631,,Spot,1,Image 1,2,55730,
2623,,Spot,1,Image 1,2,55731,
2993,,Spot,1,Image 1,2,55732,
2474,,Spot,1,Image 1,2,55733,
3091,,Spot,1,Image 1,2,55734,
4506,,Spot,1,Image 1,2,55735,
3198,,Spot,1,Image 1,2,55736,
4185,,Spot,1,Image 1,2,55737,
5899,,Spot,1,Image 1,2,55738,
1801,,Spot,1,Image 1,2,55739,
1954,,Spot,1,Image 1,2,55740,
3380,,Spot,1,Image 1,2,55741,
4225,,Spot,1,Image 1,2,55742,
1649,,Spot,1,Image 1,2,55743,
1991,,Spot,1,Image 1,2,55744,
3066,,Spot,1,Image 1,2,55745,
3579,,Spot,1,Image 1,2,55746,
5630,,Spot,1,Image 1,2,55747,
3551,,Spot,1,Image 1,2,55748,
2716,,Spot,1,Image 1,2,55749,
3600,,Spot,1,Image 1,2,55750,
1845,,Spot,1,Image 1,2,55751,
3210,,Spot,1,Image 1,2,55752,
1810,,Spot,1,Image 1,2,55753,
2764,,Spot,1,Image 1,2,55754,
3803,,Spot,1,Image 1,2,55755,
2224,,Spot,1,Image 1,2,55756,
2395,,Spot,1,Image 1,2,55757,
3702,,Spot,1,Image 1,2,55758,
3018,,Spot,1,Image 1,2,55759,
3080,,Spot,1,Image 1,2,55760,
3164,,Spot,1,Image 1,2,55761,
2695,,Spot,1,Image 1,2,55762,
2797,,Spot,1,Image 1,2,55763,
1801,,Spot,1,Image 1,2,55764,
3490,,Spot,1,Image 1,2,55765,
2992,,Spot,1,Image 1,2,55766,
3841,,Spot,1,Image 1,2,55767,
2557,,Spot,1,Image 1,2,55768,
2694,,Spot,1,Image 1,2,55769,
2496,,Spot,1,Image 1,2,55770,
2447,,Spot,1,Image 1,2,55771,
2101,,Spot,1,Image 1,2,55772,
2486,,Spot,1,Image 1,2,55773,
2025,,Spot,1,Image 1,2,55774,
2561,,Spot,1,Image 1,2,55775,
5981,,Spot,1,Image 1,2,55776,
2602,,Spot,1,Image 1,2,55777,
2418,,Spot,1,Image 1,2,55778,
2623,,Spot,1,Image 1,2,55779,
2977,,Spot,1,Image 1,2,55780,
3445,,Spot,1,Image 1,2,55781,
3064,,Spot,1,Image 1,2,55782,
2014,,Spot,1,Image 1,2,55783,
2754,,Spot,1,Image 1,2,55784,
2613,,Spot,1,Image 1,2,55785,
2582,,Spot,1,Image 1,2,55786,
2410,,Spot,1,Image 1,2,55787,
2573,,Spot,1,Image 1,2,55788,
2833,,Spot,1,Image 1,2,55789,
1380,,Spot,1,Image 1,2,55790,
3149,,Spot,1,Image 1,2,55791,
3205,,Spot,1,Image 1,2,55792,
2163,,Spot,1,Image 1,2,55793,
1785,,Spot,1,Image 1,2,55794,
1968,,Spot,1,Image 1,2,55795,
3671,,Spot,1,Image 1,2,55796,
2139,,Spot,1,Image 1,2,55797,
3297,,Spot,1,Image 1,2,55798,
2854,,Spot,1,Image 1,2,55799,
3029,,Spot,1,Image 1,2,55800,
3445,,Spot,1,Image 1,2,55801,
2017,,Spot,1,Image 1,2,55802,
4454,,Spot,1,Image 1,2,55803,
4099,,Spot,1,Image 1,2,55804,
3972,,Spot,1,Image 1,2,55805,
4747,,Spot,1,Image 1,2,55806,
1809,,Spot,1,Image 1,2,55807,
4029,,Spot,1,Image 1,2,55808,
2625,,Spot,1,Image 1,2,55809,
2259,,Spot,1,Image 1,2,55810,
1452,,Spot,1,Image 1,2,55811,
3434,,Spot,1,Image 1,2,55812,
3920,,Spot,1,Image 1,2,55813,
2963,,Spot,1,Image 1,2,55814,
3680,,Spot,1,Image 1,2,55815,
2549,,Spot,1,Image 1,2,55816,
3020,,Spot,1,Image 1,2,55817,
1565,,Spot,1,Image 1,2,55818,
2368,,Spot,1,Image 1,2,55819,
2616,,Spot,1,Image 1,2,55820,
3034,,Spot,1,Image 1,2,55821,
3685,,Spot,1,Image 1,2,55822,
1845,,Spot,1,Image 1,2,55823,
2587,,Spot,1,Image 1,2,55824,
3475,,Spot,1,Image 1,2,55825,
2643,,Spot,1,Image 1,2,55826,
2390,,Spot,1,Image 1,2,55827,
2915,,Spot,1,Image 1,2,55828,
3024,,Spot,1,Image 1,2,55829,
3087,,Spot,1,Image 1,2,55830,
