
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
2718,,Spot,2,Image 1,2,53431,
2641,,Spot,2,Image 1,2,53432,
3981,,Spot,2,Image 1,2,53433,
3783,,Spot,2,Image 1,2,53434,
6860,,Spot,2,Image 1,2,53435,
2384,,Spot,2,Image 1,2,53436,
2186,,Spot,2,Image 1,2,53437,
4115,,Spot,2,Image 1,2,53438,
1990,,Spot,2,Image 1,2,53439,
2398,,Spot,2,Image 1,2,53440,
4432,,Spot,2,Image 1,2,53441,
6728,,Spot,2,Image 1,2,53442,
2440,,Spot,2,Image 1,2,53443,
1779,,Spot,2,Image 1,2,53444,
1780,,Spot,2,Image 1,2,53445,
5487,,Spot,2,Image 1,2,53446,
3533,,Spot,2,Image 1,2,53447,
3406,,Spot,2,Image 1,2,53448,
3281,,Spot,2,Image 1,2,53449,
4267,,Spot,2,Image 1,2,53450,
1199,,Spot,2,Image 1,2,53451,
1304,,Spot,2,Image 1,2,53452,
3841,,Spot,2,Image 1,2,53453,
3123,,Spot,2,Image 1,2,53454,
3552,,Spot,2,Image 1,2,53455,
3331,,Spot,2,Image 1,2,53456,
5176,,Spot,2,Image 1,2,53457,
4041,,Spot,2,Image 1,2,53458,
1862,,Spot,2,Image 1,2,53459,
3087,,Spot,2,Image 1,2,53460,
1112,,Spot,2,Image 1,2,53461,
3654,,Spot,2,Image 1,2,53462,
2578,,Spot,2,Image 1,2,53463,
3070,,Spot,2,Image 1,2,53464,
3721,,Spot,2,Image 1,2,53465,
3580,,Spot,2,Image 1,2,53466,
3240,,Spot,2,Image 1,2,53467,
3729,,Spot,2,Image 1,2,53468,
3941,,Spot,2,Image 1,2,53469,
1914,,Spot,2,Image 1,2,53470,
4849,,Spot,2,Image 1,2,53471,
1586,,Spot,2,Image 1,2,53472,
3955,,Spot,2,Image 1,2,53473,
1899,,Spot,2,Image 1,2,53474,
1191,,Spot,2,Image 1,2,53475,
4923,,Spot,2,Image 1,2,53476,
2967,,Spot,2,Image 1,2,53477,
1651,,Spot,2,Image 1,2,53478,
947,,Spot,2,Image 1,2,53479,
3368,,Spot,2,Image 1,2,53480,
2378,,Spot,2,Image 1,2,53481,
2940,,Spot,2,Image 1,2,53482,
4156,,Spot,2,Image 1,2,53483,
2363,,Spot,2,Image 1,2,53484,
2695,,Spot,2,Image 1,2,53485,
8321,,Spot,2,Image 1,2,53486,
2848,,Spot,2,Image 1,2,53487,
