
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
2744,,Spot,Image 1,2,53352,
2764,,Spot,Image 1,2,53353,
2742,,Spot,Image 1,2,53354,
2738,,Spot,Image 1,2,53355,
2747,,Spot,Image 1,2,53356,
2754,,Spot,Image 1,2,53357,
2745,,Spot,Image 1,2,53358,
2742,,Spot,Image 1,2,53359,
2744,,Spot,Image 1,2,53360,
2755,,Spot,Image 1,2,53361,
2751,,Spot,Image 1,2,53362,
2742,,Spot,Image 1,2,53363,
2741,,Spot,Image 1,2,53364,
2749,,Spot,Image 1,2,53365,
2746,,Spot,Image 1,2,53366,
2742,,Spot,Image 1,2,53367,
2751,,Spot,Image 1,2,53368,
2750,,Spot,Image 1,2,53369,
2742,,Spot,Image 1,2,53370,
2747,,Spot,Image 1,2,53371,
2747,,Spot,Image 1,2,53372,
2750,,Spot,Image 1,2,53373,
2747,,Spot,Image 1,2,53374,
2752,,Spot,Image 1,2,53375,
2745,,Spot,Image 1,2,53376,
2750,,Spot,Image 1,2,53377,
2741,,Spot,Image 1,2,53378,
2750,,Spot,Image 1,2,53379,
2747,,Spot,Image 1,2,53380,
2743,,Spot,Image 1,2,53381,
2744,,Spot,Image 1,2,53382,
2742,,Spot,Image 1,2,53383,
2751,,Spot,Image 1,2,53384,
2748,,Spot,Image 1,2,53385,
2740,,Spot,Image 1,2,53386,
2748,,Spot,Image 1,2,53387,
2753,,Spot,Image 1,2,53388,
2751,,Spot,Image 1,2,53389,
2742,,Spot,Image 1,2,53390,
2739,,Spot,Image 1,2,53391,
2746,,Spot,Image 1,2,53392,
2741,,Spot,Image 1,2,53393,
2743,,Spot,Image 1,2,53394,
2734,,Spot,Image 1,2,53395,
2746,,Spot,Image 1,2,53396,
2742,,Spot,Image 1,2,53397,
2750,,Spot,Image 1,2,53398,
2741,,Spot,Image 1,2,53399,
2744,,Spot,Image 1,2,53400,
2749,,Spot,Image 1,2,53401,
2745,,Spot,Image 1,2,53402,
2747,,Spot,Image 1,2,53403,
2752,,Spot,Image 1,2,53404,
2757,,Spot,Image 1,2,53405,
2741,,Spot,Image 1,2,53406,
2741,,Spot,Image 1,2,53407,
2740,,Spot,Image 1,2,53408,
2745,,Spot,Image 1,2,53409,
2749,,Spot,Image 1,2,53410,
