
Intensity Mean Ch=2 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1492.01,,Spot,2,Image 1,2,53276,
4033.79,,Spot,2,Image 1,2,53277,
903.154,,Spot,2,Image 1,2,53278,
1513.13,,Spot,2,Image 1,2,53279,
3355.48,,Spot,2,Image 1,2,53280,
3292.69,,Spot,2,Image 1,2,53281,
2303.29,,Spot,2,Image 1,2,53282,
3041.2,,Spot,2,Image 1,2,53283,
2012.34,,Spot,2,Image 1,2,53284,
1391.59,,Spot,2,Image 1,2,53285,
1736.25,,Spot,2,Image 1,2,53286,
3047.51,,Spot,2,Image 1,2,53287,
1452.13,,Spot,2,Image 1,2,53288,
2193.09,,Spot,2,Image 1,2,53289,
1913.62,,Spot,2,Image 1,2,53290,
2124.32,,Spot,2,Image 1,2,53291,
3347.89,,Spot,2,Image 1,2,53292,
1893.43,,Spot,2,Image 1,2,53293,
2336.29,,Spot,2,Image 1,2,53294,
2567.47,,Spot,2,Image 1,2,53295,
2788.01,,Spot,2,Image 1,2,53296,
2853.02,,Spot,2,Image 1,2,53297,
1940.64,,Spot,2,Image 1,2,53298,
2643.06,,Spot,2,Image 1,2,53299,
2408.6,,Spot,2,Image 1,2,53300,
2833.98,,Spot,2,Image 1,2,53301,
1795.33,,Spot,2,Image 1,2,53302,
2870.02,,Spot,2,Image 1,2,53303,
2684.14,,Spot,2,Image 1,2,53304,
3185.12,,Spot,2,Image 1,2,53305,
2348.32,,Spot,2,Image 1,2,53306,
1544.89,,Spot,2,Image 1,2,53307,
1762.93,,Spot,2,Image 1,2,53308,
3295.49,,Spot,2,Image 1,2,53309,
3121.92,,Spot,2,Image 1,2,53310,
2023.97,,Spot,2,Image 1,2,53311,
2148.68,,Spot,2,Image 1,2,53312,
1584.2,,Spot,2,Image 1,2,53313,
1829.02,,Spot,2,Image 1,2,53314,
1619.78,,Spot,2,Image 1,2,53315,
1591.11,,Spot,2,Image 1,2,53316,
2478.19,,Spot,2,Image 1,2,53317,
1875.36,,Spot,2,Image 1,2,53318,
1848.96,,Spot,2,Image 1,2,53319,
2252.7,,Spot,2,Image 1,2,53320,
2047.27,,Spot,2,Image 1,2,53321,
1708.39,,Spot,2,Image 1,2,53322,
2276.72,,Spot,2,Image 1,2,53323,
2859.15,,Spot,2,Image 1,2,53324,
