
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
911.547,,Spot,2,Image 1,2,53293,
901.851,,Spot,2,Image 1,2,53294,
1082.13,,Spot,2,Image 1,2,53295,
1050.74,,Spot,2,Image 1,2,53296,
914.421,,Spot,2,Image 1,2,53297,
783.826,,Spot,2,Image 1,2,53298,
923.776,,Spot,2,Image 1,2,53299,
891.122,,Spot,2,Image 1,2,53300,
930.67,,Spot,2,Image 1,2,53301,
682.175,,Spot,2,Image 1,2,53302,
909.81,,Spot,2,Image 1,2,53303,
951.617,,Spot,2,Image 1,2,53304,
1003.76,,Spot,2,Image 1,2,53305,
910.677,,Spot,2,Image 1,2,53306,
700.24,,Spot,2,Image 1,2,53307,
736.257,,Spot,2,Image 1,2,53308,
968.917,,Spot,2,Image 1,2,53309,
1086.53,,Spot,2,Image 1,2,53310,
793.573,,Spot,2,Image 1,2,53311,
760.177,,Spot,2,Image 1,2,53312,
660.549,,Spot,2,Image 1,2,53313,
786.098,,Spot,2,Image 1,2,53314,
719.447,,Spot,2,Image 1,2,53315,
669.905,,Spot,2,Image 1,2,53316,
825.774,,Spot,2,Image 1,2,53317,
693.245,,Spot,2,Image 1,2,53318,
676.76,,Spot,2,Image 1,2,53319,
822.726,,Spot,2,Image 1,2,53320,
907.17,,Spot,2,Image 1,2,53321,
635.434,,Spot,2,Image 1,2,53322,
919.086,,Spot,2,Image 1,2,53323,
871.983,,Spot,2,Image 1,2,53324,
743.254,,Spot,2,Image 1,2,53325,
843.419,,Spot,2,Image 1,2,53326,
934.447,,Spot,2,Image 1,2,53327,
749.375,,Spot,2,Image 1,2,53328,
1125.13,,Spot,2,Image 1,2,53329,
921.796,,Spot,2,Image 1,2,53330,
665.134,,Spot,2,Image 1,2,53331,
882.624,,Spot,2,Image 1,2,53332,
945.471,,Spot,2,Image 1,2,53333,
1151.4,,Spot,2,Image 1,2,53334,
1804.17,,Spot,2,Image 1,2,53335,
1064.87,,Spot,2,Image 1,2,53336,
986.186,,Spot,2,Image 1,2,53337,
1488.93,,Spot,2,Image 1,2,53338,
973.289,,Spot,2,Image 1,2,53339,
987.34,,Spot,2,Image 1,2,53340,
1284.62,,Spot,2,Image 1,2,53341,
1293.24,,Spot,2,Image 1,2,53342,
969.794,,Spot,2,Image 1,2,53343,
876.726,,Spot,2,Image 1,2,53344,
866.465,,Spot,2,Image 1,2,53345,
893.944,,Spot,2,Image 1,2,53346,
754.668,,Spot,2,Image 1,2,53347,
1008.08,,Spot,2,Image 1,2,53348,
871.805,,Spot,2,Image 1,2,53349,
861.55,,Spot,2,Image 1,2,53350,
746.376,,Spot,2,Image 1,2,53351,
875.633,,Spot,2,Image 1,2,53352,
632.853,,Spot,2,Image 1,2,53353,
764.034,,Spot,2,Image 1,2,53354,
938.256,,Spot,2,Image 1,2,53355,
790.497,,Spot,2,Image 1,2,53356,
1753.69,,Spot,2,Image 1,2,53357,
667.568,,Spot,2,Image 1,2,53358,
661.906,,Spot,2,Image 1,2,53359,
678.848,,Spot,2,Image 1,2,53360,
704.833,,Spot,2,Image 1,2,53361,
907.39,,Spot,2,Image 1,2,53362,
1010.89,,Spot,2,Image 1,2,53363,
941.345,,Spot,2,Image 1,2,53364,
936.156,,Spot,2,Image 1,2,53365,
962.533,,Spot,2,Image 1,2,53366,
887.103,,Spot,2,Image 1,2,53367,
916.31,,Spot,2,Image 1,2,53368,
849.682,,Spot,2,Image 1,2,53369,
1029.3,,Spot,2,Image 1,2,53370,
951.003,,Spot,2,Image 1,2,53371,
901.322,,Spot,2,Image 1,2,53372,
745.408,,Spot,2,Image 1,2,53373,
719.208,,Spot,2,Image 1,2,53374,
1006.14,,Spot,2,Image 1,2,53375,
