
Intensity Sum of Square Ch=6 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
2.72333e+10,,Spot,6,Image 1,2,53327,
1.14467e+10,,Spot,6,Image 1,2,53328,
4.57281e+10,,Spot,6,Image 1,2,53329,
2.21968e+10,,Spot,6,Image 1,2,53330,
7.13299e+09,,Spot,6,Image 1,2,53331,
1.40313e+10,,Spot,6,Image 1,2,53332,
2.01893e+10,,Spot,6,Image 1,2,53333,
1.69234e+10,,Spot,6,Image 1,2,53334,
2.71772e+10,,Spot,6,Image 1,2,53335,
1.96117e+10,,Spot,6,Image 1,2,53336,
2.68747e+10,,Spot,6,Image 1,2,53337,
2.32297e+10,,Spot,6,Image 1,2,53338,
3.561e+10,,Spot,6,Image 1,2,53339,
2.81089e+10,,Spot,6,Image 1,2,53340,
5.23918e+10,,Spot,6,Image 1,2,53341,
5.78334e+10,,Spot,6,Image 1,2,53342,
2.27592e+10,,Spot,6,Image 1,2,53343,
1.94652e+10,,Spot,6,Image 1,2,53344,
1.84699e+10,,Spot,6,Image 1,2,53345,
1.89177e+10,,Spot,6,Image 1,2,53346,
8.86377e+09,,Spot,6,Image 1,2,53347,
2.96e+10,,Spot,6,Image 1,2,53348,
1.10326e+10,,Spot,6,Image 1,2,53349,
1.96282e+10,,Spot,6,Image 1,2,53350,
9.32013e+09,,Spot,6,Image 1,2,53351,
2.10131e+10,,Spot,6,Image 1,2,53352,
6.99475e+09,,Spot,6,Image 1,2,53353,
1.28981e+10,,Spot,6,Image 1,2,53354,
9.56019e+09,,Spot,6,Image 1,2,53355,
2.10675e+10,,Spot,6,Image 1,2,53356,
