
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
95.9004,um,Spot,Distance from Origin,1,53140,
98.4424,um,Spot,Distance from Origin,1,53141,
107.954,um,Spot,Distance from Origin,1,53142,
89.829,um,Spot,Distance from Origin,1,53143,
109.506,um,Spot,Distance from Origin,1,53144,
104.707,um,Spot,Distance from Origin,1,53145,
111.184,um,Spot,Distance from Origin,1,53146,
112.617,um,Spot,Distance from Origin,1,53147,
124.7,um,Spot,Distance from Origin,1,53148,
115.32,um,Spot,Distance from Origin,1,53149,
116.191,um,Spot,Distance from Origin,1,53150,
108.889,um,Spot,Distance from Origin,1,53152,
94.2862,um,Spot,Distance from Origin,1,53154,
103.729,um,Spot,Distance from Origin,1,53155,
116.34,um,Spot,Distance from Origin,1,53157,
127.595,um,Spot,Distance from Origin,1,53159,
118.955,um,Spot,Distance from Origin,1,53160,
118.702,um,Spot,Distance from Origin,1,53163,
120.211,um,Spot,Distance from Origin,1,53164,
115.724,um,Spot,Distance from Origin,1,53165,
121.14,um,Spot,Distance from Origin,1,53166,
121.257,um,Spot,Distance from Origin,1,53167,
106.921,um,Spot,Distance from Origin,1,53168,
92.729,um,Spot,Distance from Origin,1,53169,
97.5184,um,Spot,Distance from Origin,1,53170,
93.757,um,Spot,Distance from Origin,1,53171,
62.9342,um,Spot,Distance from Origin,1,53172,
63.0665,um,Spot,Distance from Origin,1,53173,
64.0144,um,Spot,Distance from Origin,1,53174,
66.7978,um,Spot,Distance from Origin,1,53175,
71.2126,um,Spot,Distance from Origin,1,53176,
132.221,um,Spot,Distance from Origin,1,53177,
137.487,um,Spot,Distance from Origin,1,53179,
140.465,um,Spot,Distance from Origin,1,53180,
122.833,um,Spot,Distance from Origin,1,53181,
125.435,um,Spot,Distance from Origin,1,53182,
120.952,um,Spot,Distance from Origin,1,53183,
123.668,um,Spot,Distance from Origin,1,53184,
135.647,um,Spot,Distance from Origin,1,53185,
128.96,um,Spot,Distance from Origin,1,53186,
119.809,um,Spot,Distance from Origin,1,53187,
109.81,um,Spot,Distance from Origin,1,53188,
83.3035,um,Spot,Distance from Origin,1,53189,
79.8043,um,Spot,Distance from Origin,1,53190,
102.657,um,Spot,Distance from Origin,1,53191,
104.013,um,Spot,Distance from Origin,1,53192,
101.78,um,Spot,Distance from Origin,1,53193,
96.636,um,Spot,Distance from Origin,1,53194,
131.88,um,Spot,Distance from Origin,1,53195,
58.7195,um,Spot,Distance from Origin,1,53196,
65.1534,um,Spot,Distance from Origin,1,53197,
109.532,um,Spot,Distance from Origin,1,53198,
112.13,um,Spot,Distance from Origin,1,53199,
127.614,um,Spot,Distance from Origin,1,53200,
122.339,um,Spot,Distance from Origin,1,53201,
82.6694,um,Spot,Distance from Origin,1,53203,
75.0597,um,Spot,Distance from Origin,1,53204,
140.401,um,Spot,Distance from Origin,1,53205,
153.728,um,Spot,Distance from Origin,1,53206,
158.204,um,Spot,Distance from Origin,1,53207,
147.426,um,Spot,Distance from Origin,1,53208,
140.64,um,Spot,Distance from Origin,1,53209,
137.715,um,Spot,Distance from Origin,1,53210,
132.129,um,Spot,Distance from Origin,1,53211,
