
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,ID,
5,5,5,um,Spot,Diameter,1,53143,
5,5,5,um,Spot,Diameter,1,53144,
5,5,5,um,Spot,Diameter,1,53145,
5,5,5,um,Spot,Diameter,1,53146,
5,5,5,um,Spot,Diameter,1,53147,
5,5,5,um,Spot,Diameter,1,53148,
5,5,5,um,Spot,Diameter,1,53149,
5,5,5,um,Spot,Diameter,1,53150,
5,5,5,um,Spot,Diameter,1,53152,
5,5,5,um,Spot,Diameter,1,53154,
5,5,5,um,Spot,Diameter,1,53155,
5,5,5,um,Spot,Diameter,1,53157,
5,5,5,um,Spot,Diameter,1,53159,
5,5,5,um,Spot,Diameter,1,53160,
5,5,5,um,Spot,Diameter,1,53163,
5,5,5,um,Spot,Diameter,1,53164,
5,5,5,um,Spot,Diameter,1,53165,
5,5,5,um,Spot,Diameter,1,53166,
5,5,5,um,Spot,Diameter,1,53167,
5,5,5,um,Spot,Diameter,1,53168,
5,5,5,um,Spot,Diameter,1,53169,
5,5,5,um,Spot,Diameter,1,53170,
5,5,5,um,Spot,Diameter,1,53171,
5,5,5,um,Spot,Diameter,1,53172,
5,5,5,um,Spot,Diameter,1,53173,
5,5,5,um,Spot,Diameter,1,53174,
5,5,5,um,Spot,Diameter,1,53175,
5,5,5,um,Spot,Diameter,1,53176,
5,5,5,um,Spot,Diameter,1,53177,
5,5,5,um,Spot,Diameter,1,53179,
5,5,5,um,Spot,Diameter,1,53180,
5,5,5,um,Spot,Diameter,1,53181,
5,5,5,um,Spot,Diameter,1,53182,
5,5,5,um,Spot,Diameter,1,53183,
5,5,5,um,Spot,Diameter,1,53184,
5,5,5,um,Spot,Diameter,1,53185,
5,5,5,um,Spot,Diameter,1,53186,
5,5,5,um,Spot,Diameter,1,53187,
5,5,5,um,Spot,Diameter,1,53188,
5,5,5,um,Spot,Diameter,1,53189,
5,5,5,um,Spot,Diameter,1,53190,
5,5,5,um,Spot,Diameter,1,53191,
5,5,5,um,Spot,Diameter,1,53192,
5,5,5,um,Spot,Diameter,1,53193,
5,5,5,um,Spot,Diameter,1,53194,
5,5,5,um,Spot,Diameter,1,53195,
5,5,5,um,Spot,Diameter,1,53196,
5,5,5,um,Spot,Diameter,1,53197,
5,5,5,um,Spot,Diameter,1,53198,
5,5,5,um,Spot,Diameter,1,53199,
5,5,5,um,Spot,Diameter,1,53200,
5,5,5,um,Spot,Diameter,1,53201,
5,5,5,um,Spot,Diameter,1,53203,
5,5,5,um,Spot,Diameter,1,53204,
5,5,5,um,Spot,Diameter,1,53205,
5,5,5,um,Spot,Diameter,1,53206,
5,5,5,um,Spot,Diameter,1,53207,
5,5,5,um,Spot,Diameter,1,53208,
5,5,5,um,Spot,Diameter,1,53209,
5,5,5,um,Spot,Diameter,1,53210,
5,5,5,um,Spot,Diameter,1,53211,
5,5,5,um,Spot,Diameter,1,53212,
5,5,5,um,Spot,Diameter,1,53213,
5,5,5,um,Spot,Diameter,1,53214,
5,5,5,um,Spot,Diameter,1,53215,
5,5,5,um,Spot,Diameter,1,53216,
